Folio,MES,AÑO,TRIMESTRE,PUNTO_ENTRADA,TERMINAL,AEROLINEA,NO_DE_VUELO,DESTINO_HOSPEDADO,LUGAR_DE_ORIGEN,ESTADOS_MEXICO,ESTADOS_USA,CANADA,SUDAMERICA,EUROPA,OTROS_PAIS,TIPO_PAQUETE,AGENCIA_DE_VIAJES,DONDE_COMPRO_VACACIONES,MOTIVO_PRINCIPAL,VECES_CANCUN,VECES_RANGOS,ESTANCIA,ESTANCIA_RANGOS,OTRO_LUGAR_PERNOCTO,NUMERO_DE_NOCHES,OTRO_LUGAR_PERNOCTO2,NUMERO_DE_NOCHES2,OTRO_LUGAR_PERNOCTO3,NUMUERO_NOCHES3,OTRO_LUGAR_PERNOCTO4,NUMERO_NOCHES4,NUMERO_ADULTOS,NIÑOS,TAMAÑO_GRUPO,CON_QUIEN_VIAJO,GASTO_TOTAL,GASTO_AVION,GASTO_HOTEL,GASTO_TRANSPORTE_TERRESTRE,GASTO_RESTAURANTES,GASTO_BARES,GASTO_TOURS,GASTO_COMPRA,DONDE_SE_HOSPEDO,HOTEL,TOUR1,TOUR2,TOUR3,TOUR4,OTRO_TOUR,TOUR_FAVORITO,NDONDE_COMPRO_TOUR,NADO_CON_DELFINES,SITIO1,SITIO2,Folio_2,REST_SMART_PHONE,BARES_SMART_PHONE,CENTROS_COMERCIALES_SMART_PHONE,TOURS_SMART_PHONE,OTROS_USOS_PHONE,CALIF_AEROPUERTO,CALIF_HOTEL,CALIF_AGENCIA,CALIF_TRANSPORTE,CALIF_RESTAURANTE,CALIF_BARES,CALIF_MALLS,CALIF_TOURS,CALIF_PLAYAS,CALIF_SEGURIDAD,CALIF_MEDIDAS_SANITARIAS,MEDIOS1,MEDIOS2,MEDIOS3,CUAL_RED_SOCIAL,QUE_OTRO_DESTINO_CARIBE1,QUE_OTRO_DESTINO_CARIBE2,QUE_OTRO_DESTINO_CARIBE3,CONSUMO_DE_RECURSOS,CONSUMO_DE_RECURSOS2,CONSUMO_DE_RECURSOS3,SUSTENTABLE_DESTINO_TURISTICO,IMPORTANTE_SUSTENTABILIDAD_DESTINO,QUE_OTRO_DESTINO_CONSIDERO1,QUE_OTRO_DESTINO_CONSIDERO2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE1,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE3,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE4,IMPERDIBLES1,IMPERDIBLES2,IMPERDIBLES3,PALABRAS_EXPERIENCIA1,PALABRAS_EXPERIENCIA2,PALABRAS_EXPERIENCIA3,PALABRAS_PARAISO1,PALABRAS_PARAISO2,PALABRAS_PARAISO3,E_13AÑOS19AÑOS,E_20AÑOS29AÑOS,E_30AÑOS39AÑOS,EDAD_JEFE_DE_FAMILIA,INGRESO,CAPTURISTA,ENCUESTADOR,ESTUDIO_CUAL,FECHA_CAPTURA,HORA_CAPTURA,FOLIO_3,DESTINO_DURMIO1,NOCHES_DURMIO1,DESTINO_DURMIO2,NOCHES_DURMIO2,DESTINO_DURMIO3,NOCHES_DURMIO3,DESTINO_DURMIO4,NOCHES_DURMIO4,DESTINO_DURMIO5,NOCHES_DURMIO5,DESTINO_DURMIO6,NOCHES_DURMIO6,CODIGO_POSTAL,QUE_AÑO_FUE_VISITA_ANTERIOR,DESTINOS_DEL_CARIBE_MEXICANO1,DESTINOS_DEL_CARIBE_MEXICANO2,DESTINOS_DEL_CARIBE_MEXICANO3,DESTINOS_DEL_CARIBE_MEXICANO4,DESTINOS_DEL_CARIBE_MEXICANO5,DESTINOS_DEL_CARIBE_MEXICANO6,FRECUENCIA_HA_VISITADO_DESTINOS_DEL_CARIBE,REDES_SOCIALES_INSPIRAN_ELECCIÓN1,REDES_SOCIALES_INSPIRAN_ELECCIÓN2,REDES_SOCIALES_INSPIRAN_ELECCIÓN3,REDES_SOCIALES_INSPIRAN_ELECCIÓN4,GRUPO_ÉTNICO,ORIGEN_GRUPO_ÉTNICO,HABLA_ESPAÑOL,MOTIVO_PRINCIPAL_2,MOTIVO_PRINCIPAL_3,MOTIVOS_PARA_VIAJAR,QUE_TANTO_ENTIENDE_ESPAÑOL,SE_CONSIDERA_PARTE_DE_COMUNIDAD_LGBTQ,SEXO_ENCUESTADOR
8822,3.0,2024,1,,2,51,5188,1,1,8,,,,,,3,23,2,1,3,3,4,2,,,,,,,,,10,,10,4,389,,,,,,,,1,1426,11,17,,,,,,2,12,,8822,1,1,,1,,2,3,4,3,3,3,3,2,2,3,4,14,9,,,1,4,6,2,5,,7,1,12,21,1,14,,,8,3,4,21,27,2,,,,,10,,3,4,7,1,1,20/03/2024,11:16:53 a. m.,8822,,,,,,,,,,,,,25000,2023,8,1,,,,,4,3,,,,,,,4,2,2,,2,
5882,2.0,2024,1,,3,28,772,3,2,,9,,,,,1,,2,4,3,3,7,3,,,,,,,,,10,,10,4,,,,,,,,,1,,1,2,42,22,,,,2,,,5882,1,,,,,3,3,3,3,2,2,2,2,1,1,4,9,,,,5,9,,3,1,,5,1,6,,1,14,19,23,15,,,5,,,,,,,10,,3,7,7,1,1,19/02/2024,,5882,,,,,,,,,,,,,,2023,,,,,,,3,2,,,,,,,,,3,3,2,
27282,9.0,2024,3,,1,106,1616,2,2,,46,,,,,7,,9,4,1,1,7,3,,,,,,,,,10,,10,3,,,,,,,,,5,,5,6,15,17,,,,2,6,,27282,,,,,,1,2,,,,,,1,1,,,,,,,,,,,,,7,1,,,1,17,15,23,4,,,7,12,,7,,,,10,,3,2,2,1,1,12/09/2024,10:19:04 a. m.,27282,,,,,,,,,,,,,22909,,,,,,,,1,,,,,2,,,,,1,,1,1
12607,4.0,2024,2,,1,52,2737,1,3,,,,,,,3,54,2,2,1,1,6,3,,,,,,,,,10,,10,4,,,,,,,,,1,45,11,,,,,,,2,3,,12607,1,,,1,,1,1,,3,,,,1,1,1,,,,,,,,,,,,8,2,,,1,23,,,,,,,,,,,,,10,,3,,7,4,1,26/04/2024,11:43:05 a. m.,12607,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,2,,,
32169,10.0,2024,4,,3,11,2219,5,2,,5,,,,,3,,,9,1,,4,,,,,,,,,,10,,10,4,,,,,,,,,1,730,11,,,,,,,2,,,32169,,,,,,3,2,,1,3,,,1,1,,,,,,,,,,,,,,2,,,23,,,,,,,,,,,,,,10,,3,,2,1,1,30/10/2024,04:28:46 p.m.,32169,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
13062,4.0,2024,2,,1,1,525,1,1,12,,,,,,1,,4,13,2,2,3,2,,,,,,,,,10,,10,3,,,,,,,,,1,54,11,,,,,,,2,,,13062,,,,,,1,1,1,,1,1,,1,1,2,,,,,,,,,,,,9,1,,,1,,,,,,,,,,,,,,10,,3,,7,1,1,29/04/2024,01:25:13 p. m.,13062,,,,,,,,,,,,,39000,2022,,,,,,,5,2,1,,,,,,,,,,2,2
1160,1.0,2024,1,1,,98,68,3,5,,,,9,,,7,,8,2,,,15,4,,,,,,,,,,,3,4,,,,,,,,,1,,11,8,,,,,,,,,1160,1,1,1,1,,3,1,,2,2,3,,,1,,,,,,,2,4,10,3,,,5,1,,,1,14,19,,,,,,,,,,,,10,,3,,3,4,2,18/01/2024,11:17:37 a. m.,1160,13,7,18,9,,,,,,,,,11084,,,,,,,,1,2,,,,,,,4,3,,1,2,
33236,10.0,2024,4,2,1,1,599,10,1,18,,,,,,3,,3,4,1,1,4,2,,,,,,,,,2,,2,2,,,,,,,,,1,,8,17,,,,,,,203,,33236,,,,,,2,2,2,3,2,3,3,2,1,2,,14,9,,,,,,,,,8,1,,,1,17,14,15,37,,,51,,,,,,,10,,3,,3,1,2,06/11/2024,10:22:33 a. m.,33236,,,,,,,,,,,,,67114,,13,,,,,,4,2,7,,,,,,2,10,4,,2,2
39385,12.0,2024,4,,1,1,531,1,1,21,,,,,,7,,,2,2,2,5,3,,,,,,,,,9,,9,3,400,150,100,30,35,,250,25,5,,5,17,18,26,,,,2,350,339,39385,1,,1,,,1,1,1,4,1,1,1,1,1,1,,9,,,,,,,,,,10,1,,,1,17,20,18,3,5,,71,12,,9,3,,,9,,3,9,7,1,1,20/12/2024,04:37:15 p. m.,39385,,,,,,,,,,,,,76809,2010,,,,,,,5,2,7,,,,,,15,,,,2,1
20312,6.0,2024,2,,,55,,8,4,,,,,24,,7,,,3,1,1,15,4,,,,,,,,,9,,9,3,3600,1000,1000,500,500,500,100,,5,,5,18,107,,,,,,8,,20312,1,1,1,1,,2,2,,2,,3,,2,1,2,,14,9,,,,,,,,,7,2,,,1,19,,,5,,,11,12,,1,25,,,9,,3,2,3,6,2,09/07/2024,03:57:26 p. m.,20312,,,,,,,,,,,,,,,7,12,6,,,,1,2,,,,,,,4,,5,,2,2
