Folio,MES,AÑO,TRIMESTRE,PUNTO_ENTRADA,TERMINAL,AEROLINEA,NO_DE_VUELO,DESTINO_HOSPEDADO,LUGAR_DE_ORIGEN,ESTADOS_MEXICO,ESTADOS_USA,CANADA,SUDAMERICA,EUROPA,OTROS_PAIS,TIPO_PAQUETE,AGENCIA_DE_VIAJES,DONDE_COMPRO_VACACIONES,MOTIVO_PRINCIPAL,VECES_CANCUN,VECES_RANGOS,ESTANCIA,ESTANCIA_RANGOS,OTRO_LUGAR_PERNOCTO,NUMERO_DE_NOCHES,OTRO_LUGAR_PERNOCTO2,NUMERO_DE_NOCHES2,OTRO_LUGAR_PERNOCTO3,NUMUERO_NOCHES3,OTRO_LUGAR_PERNOCTO4,NUMERO_NOCHES4,NUMERO_ADULTOS,NIÑOS,TAMAÑO_GRUPO,CON_QUIEN_VIAJO,GASTO_TOTAL,GASTO_AVION,GASTO_HOTEL,GASTO_TRANSPORTE_TERRESTRE,GASTO_RESTAURANTES,GASTO_BARES,GASTO_TOURS,GASTO_COMPRA,DONDE_SE_HOSPEDO,HOTEL,TOUR1,TOUR2,TOUR3,TOUR4,OTRO_TOUR,TOUR_FAVORITO,NDONDE_COMPRO_TOUR,NADO_CON_DELFINES,SITIO1,SITIO2,Folio_2,REST_SMART_PHONE,BARES_SMART_PHONE,CENTROS_COMERCIALES_SMART_PHONE,TOURS_SMART_PHONE,OTROS_USOS_PHONE,CALIF_AEROPUERTO,CALIF_HOTEL,CALIF_AGENCIA,CALIF_TRANSPORTE,CALIF_RESTAURANTE,CALIF_BARES,CALIF_MALLS,CALIF_TOURS,CALIF_PLAYAS,CALIF_SEGURIDAD,CALIF_MEDIDAS_SANITARIAS,MEDIOS1,MEDIOS2,MEDIOS3,CUAL_RED_SOCIAL,QUE_OTRO_DESTINO_CARIBE1,QUE_OTRO_DESTINO_CARIBE2,QUE_OTRO_DESTINO_CARIBE3,CONSUMO_DE_RECURSOS,CONSUMO_DE_RECURSOS2,CONSUMO_DE_RECURSOS3,SUSTENTABLE_DESTINO_TURISTICO,IMPORTANTE_SUSTENTABILIDAD_DESTINO,QUE_OTRO_DESTINO_CONSIDERO1,QUE_OTRO_DESTINO_CONSIDERO2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE1,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE3,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE4,IMPERDIBLES1,IMPERDIBLES2,IMPERDIBLES3,PALABRAS_EXPERIENCIA1,PALABRAS_EXPERIENCIA2,PALABRAS_EXPERIENCIA3,PALABRAS_PARAISO1,PALABRAS_PARAISO2,PALABRAS_PARAISO3,E_13AÑOS19AÑOS,E_20AÑOS29AÑOS,E_30AÑOS39AÑOS,EDAD_JEFE_DE_FAMILIA,INGRESO,CAPTURISTA,ENCUESTADOR,ESTUDIO_CUAL,FECHA_CAPTURA,HORA_CAPTURA,FOLIO_3,DESTINO_DURMIO1,NOCHES_DURMIO1,DESTINO_DURMIO2,NOCHES_DURMIO2,DESTINO_DURMIO3,NOCHES_DURMIO3,DESTINO_DURMIO4,NOCHES_DURMIO4,DESTINO_DURMIO5,NOCHES_DURMIO5,DESTINO_DURMIO6,NOCHES_DURMIO6,CODIGO_POSTAL,QUE_AÑO_FUE_VISITA_ANTERIOR,DESTINOS_DEL_CARIBE_MEXICANO1,DESTINOS_DEL_CARIBE_MEXICANO2,DESTINOS_DEL_CARIBE_MEXICANO3,DESTINOS_DEL_CARIBE_MEXICANO4,DESTINOS_DEL_CARIBE_MEXICANO5,DESTINOS_DEL_CARIBE_MEXICANO6,FRECUENCIA_HA_VISITADO_DESTINOS_DEL_CARIBE,REDES_SOCIALES_INSPIRAN_ELECCIÓN1,REDES_SOCIALES_INSPIRAN_ELECCIÓN2,REDES_SOCIALES_INSPIRAN_ELECCIÓN3,REDES_SOCIALES_INSPIRAN_ELECCIÓN4,GRUPO_ÉTNICO,ORIGEN_GRUPO_ÉTNICO,HABLA_ESPAÑOL,MOTIVO_PRINCIPAL_2,MOTIVO_PRINCIPAL_3,MOTIVOS_PARA_VIAJAR,QUE_TANTO_ENTIENDE_ESPAÑOL,SE_CONSIDERA_PARTE_DE_COMUNIDAD_LGBTQ,SEXO_ENCUESTADOR
855,1.0,2024,1,,1,146,2611,5,3,,,3,,,,7,,3,11,1,1,4,2,,,,,,,,,2,,2,2,1000,,,,,,,,1,1365,,,,,,,,2,,,855,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,8,14,12,,,,,2,3,4,10,1,,,15,,,,,,,,,,,,,,2,,3,6,2,1,1,16/01/2024,04:06:02 p. m.,855,,,,,,,,,,,,,,,13,,,,,,1,,,,,4,,,,,,1,1,
18768,6.0,2024,2,,1,25,8,2,2,,9,,,,,7,,,4,1,1,4,2,,,,,,,,,2,,2,2,1000,,,,,,,,1,,,,,,,,,2,3,,18768,,,,,,1,1,,,1,1,,,1,,,,,,,,,,,,,8,2,,,20,,,,,,,,,,,,,,2,,3,,2,1,1,26/06/2024,04:03:29 p. m.,18768,,,,,,,,,,,,,33010,,,,,,,,,,,,,,,,,,,,,
31928,10.0,2024,4,,1,1,561,2,1,1,,,,,,1,,2,4,1,,4,,,,,,,,,,2,,2,3,1000,,,,,,,,1,481,,,,,,,,2,46,203,31928,,,,,,2,3,2,4,2,3,2,,2,2,,9,,,,,,,,,,6,1,,,14,,,,,,,,,,,,,,2,,3,,7,4,1,28/10/2024,11:20:24 a.m.,31928,,,,,,,,,,,,,6720,,,,,,,,1,2,1,3,,1,,,,,2,,,
34742,11.0,2024,4,,2,51,701,2,1,33,,,,,,3,,,11,1,1,4,2,,,,,,,,,2,,2,2,1000,,,,,,,,1,174,,,,,,,,2,,,34742,1,,,1,,1,3,3,1,3,2,2,3,1,2,,8,,,,,,,,,,5,2,,,1,,,,,,,51,71,,,,,,2,,3,2,7,4,1,21/11/2024,11:43:14 a. m.,34742,,,,,,,,,,,,,52700,2024,,,,,,,1,2,1,,,,,,,,2,,2,1
37294,12.0,2024,4,,2,51,1047,4,1,14,,,,,,7,,4,1,1,1,4,2,7,2,,,,,,,2,,2,2,1000,,,,,,,,4,,8,107,,,,,,2,,,37294,1,,,,,1,2,,1,1,,2,1,2,2,,14,9,,,,,,,,,9,1,,,1,16,,,,,,,,,,,,,2,,3,2,2,1,1,12/12/2024,01:31:11 p. m.,37294,,,,,,,,,,,,,,,4,,,,,,1,1,,,,1,,,10,,1,,2,2
29528,9.0,2024,3,,2,51,5378,1,1,6,,,,,,7,,2,2,2,2,3,2,,,,,,,,,2,,2,4,1000,,,,,,,,1,453,,,,,,,,2,46,47,29528,1,1,1,,,2,2,2,3,,,2,,2,2,,9,,,,,,,,,,8,2,,,1,,,,,,,,,,,,,,2,,3,9,7,4,1,30/09/2024,04:43:10 p. m.,29528,,,,,,,,,,,,,30000,2022,,,,,,,4,7,,,,,,,4,10,2,,1,2
33667,10.0,2024,4,3,2,55,1415,9,1,18,,,,,,1,,4,1,1,1,3,2,,,,,,,,,2,,2,4,1000,,,,,,,,1,,,,,,,,,,,,33667,1,,,,,2,1,2,2,1,1,1,1,1,1,,14,,,,,,,,,,7,2,,,20,,,,35,,,4,27,37,,,,,2,,3,8,7,6,2,08/11/2024,11:23:13 a. m.,33667,,,,,,,,,,,,,64117,,13,,,,,,2,2,,,,,,,,,2,,,1
17008,5.0,2024,2,4,,,,11,1,22,,,,,,7,,,4,2,2,2,1,,,,,,,,,2,,2,4,1000,,,,,,,,1,,,,,,,,,,,,17008,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,20,,,,,,,,,,,,,,2,,3,3,7,9,2,12/06/2024,11:21:47 a. m.,17008,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,
38337,12.0,2024,4,,2,55,2020,2,3,,,,,,,7,,4,1,4,4,1,1,,,,,,,,,2,,2,2,1000,,,,,,,,4,,6,8,18,,,,,2,8,,38337,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,2,,3,3,3,1,1,20/12/2024,04:28:42 p. m.,38337,,,,,,,,,,,,,,2023,,,,,,,3,2,3,,,1,,,,,,,2,1
13246,4.0,2024,2,,2,55,2178,2,1,18,,,,,,3,54,2,10,2,2,1,1,,,,,,,,,2,,2,2,1000,,,,,,,,1,381,40,,,,,,,2,8,,13246,1,,,,,1,1,1,1,1,,1,,1,1,,9,,,,,,,,,,9,1,,,1,23,,,15,,,34,2,30,,,,,2,,3,8,7,1,1,02/05/2024,11:26:34 a. m.,13246,,,,,,,,,,,,,64346,,,,,,,,5,7,,,,,,,11,2,2,,2,
34514,11.0,2024,4,,2,51,4,4,5,,,,13,,,7,,,4,,,1,1,,,,,,,,,2,,2,2,1000,,,,,,,,1,,18,107,52,,,,,2,,,34514,,,,,,2,2,,,2,,,,1,2,,,,,,,,,,,,9,1,,,1,14,,,,,,34,26,20,3,,,,2,,3,,3,1,1,21/11/2024,12:03:36 p. m.,34514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
7462,2.0,2024,1,4,,,,7,1,22,,,,,,7,,4,4,2,2,,,,,,,,,,,,,2,2,1000,,,,,,,,,,,,,,,,,,5,,7462,1,,,1,,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,,,6,1,,,1,20,14,,,,,21,7,,,,,,2,,3,9,3,7,2,11/03/2024,12:28:31 p. m.,7462,9,3,,,,,,,,,,,,2020,13,6,12,,,,4,3,,,,1,,,9,5,1,1,2,
33167,10.0,2024,4,1,,,,3,5,,,,1,,,7,,3,4,1,1,14,4,,,,,,,,,1,,1,1,1000,,,,,,,,4,,17,,,,,,,,,,33167,,,,,,2,2,2,,,,,2,2,2,,,,,,,,,,,,9,1,,,23,,,,,,,,,,,,,,2,,3,2,2,4,2,06/11/2024,12:31:06 p. m.,33167,,,,,,,,,,,,,2000,,8,,,,,,1,,,,,,,,9,6,,,,1
39437,12.0,2024,4,1,,,,7,4,,,,,12,,7,,4,4,1,1,4,2,,,,,,,,,1,,1,1,1000,,,,,,,,1,,5,6,,,,,,,,,39437,,,1,,,,2,,,,1,1,1,2,2,,,,,,,,,,,,10,2,,,16,,,,,,,,,,,,,,2,,3,2,2,7,2,06/01/2025,03:48:23 p. m.,39437,,,,,,,,,,,,,28020,,,,,,,,1,2,3,,,2,,,6,9,3,,2,2
35106,11.0,2024,4,,2,55,2202,2,1,33,,,,,,7,,9,1,1,1,3,2,,,,,,,,,1,,1,1,1000,,,,,,,,5,,8,,,,,,,2,179,,35106,,,1,,,2,2,,3,2,,2,2,2,3,,7,,,,,,,,,,8,2,18,,23,,,,10,15,,22,34,,16,34,,,2,,3,,7,1,1,25/11/2024,11:50:27 a. m.,35106,,,,,,,,,,,,,55707,,,,,,,,1,2,7,,,,,,4,10,1,,2,1
12620,4.0,2024,2,,2,133,5553,1,5,,,,23,,,1,,6,10,1,1,3,2,,,,,,,,,2,,2,2,980,,,,,,,,1,648,6,11,,,,,,2,,,12620,1,1,,,,2,2,3,2,2,1,2,2,1,1,,9,,,,,,,,,,10,1,,,1,9,15,23,8,15,,12,2,51,6,,,,2,,3,8,7,4,1,26/04/2024,11:15:35 a. m.,12620,,,,,,,,,,,,,,,,,,,,,1,2,7,5,,,,,,,2,,2,1
24287,8.0,2024,3,,2,51,3502,1,1,11,,,,,,1,,1,3,1,1,6,3,,,,,,,,,2,,2,2,960,,,,,,,,1,857,5,6,18,107,,,,2,,,24287,,,1,,,1,2,3,1,2,,2,1,2,2,,7,,,,,,,,,,8,2,21,84,1,20,4,23,35,,,56,12,,22,1,,,2,,3,8,7,4,1,14/08/2024,04:06:54 p. m.,24287,,,,,,,,,,,,,37554,,,,,,,,1,1,7,,,,,,,,4,,2,2
10364,3.0,2024,1,,2,55,2286,1,1,33,,,,,,1,54,2,2,4,4,5,3,1,4,,,,,,,2,,2,2,900,,,,,,,,1,,11,,,,,,,2,3,,10364,,1,,1,,2,2,2,,1,2,1,1,1,1,2,14,,,,12,,,3,,,7,1,,,1,23,,,50,8,41,22,5,51,,,,,2,,3,2,7,4,1,03/04/2024,01:38:15 p. m.,10364,,,,,,,,,,,,,55400,2023,13,4,8,,,,2,2,1,3,,,,,4,,2,,2,
589,1.0,2024,1,,1,3,539,1,3,,,4,,,,1,,4,9,1,1,4,2,,,,,,,,,2,,2,2,900,,,,,,,,1,,,,,,,,,2,,,589,1,1,1,,,2,1,1,4,,,,,1,1,1,7,9,,,7,12,,3,,,10,2,,,19,23,,,50,,,12,5,,,,,,2,,3,2,7,1,1,12/01/2024,11:30:23 a. m.,589,,,,,,,,,,,,,,2023,,,,,,,2,2,,,,2,,,10,6,5,4,2,
34324,11.0,2024,4,,3,28,1796,2,5,,,,22,,,3,,1,1,1,1,4,2,,,,,,,,,2,,2,3,900,,,,,,,,1,1393,26,,,,,,,2,,,34324,,,,1,,1,1,1,,,,,,1,1,,9,,,,,,,,,,10,1,,,1,17,20,18,,,,,,,,,,,2,,3,,3,1,1,19/11/2024,10:18:18 a. m.,34324,,,,,,,,,,,,,979,,,,,,,,5,2,7,,,1,,,,,5,,2,1
16491,5.0,2024,2,,2,55,310,1,1,11,,,,,,1,,2,11,1,1,4,2,,,,,,,,,2,,2,2,889,,,,,,,,1,849,,,,,,,,2,12,,16491,,,,,,2,3,3,,,,,,4,2,,8,,,,,,,,,,4,1,31,,1,20,14,,,,,35,,,,,,,2,,3,3,3,1,1,05/06/2024,04:25:23 p. m.,16491,,,,,,,,,,,,,38300,,,,,,,,1,3,7,,,,,,,,2,,2,1
3404,2.0,2024,1,,2,51,5152,1,1,11,,,,,,3,,1,4,1,1,3,2,,,,,,,,,2,,2,2,889,,,,,,,,,,,,,,,,,2,,,3404,1,,1,1,,1,1,1,1,1,,,1,,1,1,8,,,,2,,,,,,5,2,,,1,17,20,9,,,,,,,,,,,2,,3,,3,1,1,09/02/2024,12:08:42 p. m.,3404,,,,,,,,,,,,,,,,,,,,,3,2,1,7,,,,,,,2,1,2,
1448,1.0,2024,1,,2,51,1021,2,1,33,,,,,,7,,4,11,1,1,4,2,,,,,,,,,2,,2,2,875,,,,,,,,5,,11,18,26,,,,,2,350,,1448,1,1,1,1,,3,,,1,1,1,1,3,2,2,3,9,,,,1,2,4,1,3,,8,1,,,4,15,,,8,,,,,,,,,,2,,3,9,7,4,1,23/01/2024,05:14:39 p. m.,1448,,,,,,,,,,,,,55055,,,,,,,,1,2,1,7,,,,,2,4,4,,,
38875,12.0,2024,4,,1,25,87,5,2,,38,,,,,3,,2,,1,1,4,2,,,,,,,,,2,,2,2,870,,,,,,,,1,1470,,,,,,,,2,,,38875,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,10,2,,,1,9,14,19,,,,,,,,,,,2,,3,,2,1,1,02/01/2025,09:59:50 a. m.,38875,,,,,,,,,,,,,19142,,,,,,,,1,,,,,1,,,,,,,2,1
17643,6.0,2024,2,,2,77,183,2,4,,,,,23,,3,,2,3,1,1,1,1,,,,,,,,,2,,2,2,850,,,,,,,,1,,26,,,,,,,2,,,17643,,,,,,1,2,,,,,,,1,,,8,,,,,,,,,,7,,75,,,,,,3,,,22,56,12,9,,,,2,,3,,7,4,1,19/06/2024,11:24:07 a. m.,17643,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,11,10,,,2,
22014,7.0,2024,3,,2,51,3502,2,1,11,,,,,,3,430,1,4,2,2,5,3,,,,,,,,,2,,2,3,843,,,,,,,,1,390,,,,,,,,2,,,22014,,,,,,1,1,1,1,1,,,,1,1,,,,,,,,,,,,10,1,21,,1,,,,1,41,,21,5,34,,,,,2,,3,,2,1,1,24/07/2024,04:02:48 p. m.,22014,,,,,,,,,,,,,37190,2023,13,,,,,,3,,,,,,,,,,,,2,1
21287,7.0,2024,3,,2,151,1350,1,5,,,,24,,,7,,4,1,2,2,8,4,,,,,,,,,2,,2,3,836,,,,,,,,4,,11,18,107,,,,,2,,,21287,,,,1,,2,,,3,2,,2,,1,,,9,,,,,,,,,,8,2,,,20,19,15,23,1,8,,,,,,,,,2,,3,,3,1,1,18/07/2024,11:59:21 a. m.,21287,,,,,,,,,,,,,,2008,,,,,,,,2,7,,,,,,,,1,,,
1898,1.0,2024,1,,2,55,2020,1,1,16,,,,,,7,,4,1,7,4,6,3,,,,,,,,,2,,2,2,833,,,,,,,,5,,11,18,,,,,,2,350,,1898,1,,1,,,3,2,,2,2,,1,,1,1,2,,,,,1,4,6,,,,9,1,,,9,19,,,,,,1,21,5,,,,,2,,3,9,3,1,1,26/01/2024,10:58:19 a. m.,1898,,,,,,,,,,,,,6350,,,,,,,,1,2,3,7,,,,,4,2,,,,
14895,5.0,2024,2,,1,1,5551,1,2,,19,,,,,7,,6,8,1,1,4,2,,,,,,,,,2,,2,4,830,,,,,,,,1,,,,,,,,,2,,,14895,1,,,,,2,1,,2,1,,,,1,,,14,,,,,,,,,,10,1,,,1,,,,,,,,,,,,,,2,,3,4,2,1,1,24/05/2024,10:07:56 a. m.,14895,,,,,,,,,,,,,56088,,,,,,,,1,7,,,,2,,,3,10,4,,2,1
17959,6.0,2024,2,,2,51,115,1,1,1,,,,,,3,,2,4,1,1,4,2,7,2,,,,,,,2,,2,2,800,,,,,,,,1,82,,,,,,,,2,8,,17959,,,,1,,1,1,1,1,1,1,1,1,1,1,,8,,,,,,,,,,10,1,21,,1,,,,17,,,71,56,7,,,,,2,,3,3,7,1,1,20/06/2024,10:30:46 a. m.,17959,,,,,,,,,,,,,5330,,,,,,,,1,7,,,,,,,9,11,2,,2,2
27497,9.0,2024,3,,3,28,52,5,2,,32,,,,,3,,6,11,1,1,3,2,,,,,,,,,2,,2,2,800,,,,,,,,1,,,,,,,,,2,,,27497,1,,,1,,1,1,,1,,,,,1,,,14,9,,,,,,,,,10,1,,,1,14,19,23,,,,9,,,,,,,2,,3,,2,1,1,12/09/2024,11:46:55 a. m.,27497,,,,,,,,,,,,,10458,,,,,,,,1,7,,,,1,,,2,,6,,2,1
27710,9.0,2024,3,,2,55,2274,2,1,1,,,,,,3,,2,4,1,1,7,3,,,,,,,,,2,,2,4,750,,,,,,,,1,550,5,11,,,,,,2,,,27710,,,,1,,1,1,1,1,1,1,1,1,1,1,,14,,,,,,,,,,10,3,,,1,4,23,,,,,5,2,71,,,,,2,,3,,3,1,1,13/09/2024,10:36:28 a. m.,27710,,,,,,,,,,,,,55720,,,,,,,,1,2,,,,,,,10,,2,,2,1
21792,7.0,2024,3,,1,1,535,1,1,15,,,,,,7,,5,4,2,2,6,3,,,,,,,,,2,,2,3,750,,,,,,,,1,682,11,,,,,,,2,47,,21792,,,,1,,2,3,3,3,2,3,2,2,1,2,,9,,,,,,,,,,10,1,,,1,20,,,8,41,17,15,2,,6,22,16,,2,,3,2,2,1,1,23/07/2024,04:02:42 p. m.,21792,,,,,,,,,,,,,60780,2023,,,,,,,3,2,7,,,,,,9,10,2,,2,1
17097,5.0,2024,2,3,,,,8,1,1,,,,,,7,,8,,1,1,3,2,1,3,7,2,,,,,2,,2,2,743,,,,,,,,1,,,,,,,,,,47,,17097,1,,,1,,2,1,,2,,,,2,,2,,9,,,,,,,,,,9,1,46,,1,9,4,,81,,,,,,,,,,2,,3,9,3,11,2,12/06/2024,11:47:57 a. m.,17097,,,,,,,,,,,,,6000,,,,,,,,2,1,3,,,,,,,,4,,2,1
31757,10.0,2024,4,,2,98,69,1,5,,,,9,,,3,,1,10,1,,5,,,,,,,,,,2,,2,2,735,,,,,,,,1,39,6,26,,,,,,2,,,31757,,,,,,2,3,3,4,4,4,4,4,4,4,,7,,,,,,,,,,10,1,19,,1,,,,4,3,,22,2,21,9,,,,2,,3,,7,4,1,25/10/2024,12:03:22 p.m.,31757,,,,,,,,,,,,,,2024,,,,,,,1,1,3,,,,,,,,4,,,1
27362,9.0,2024,3,,2,51,3518,1,1,21,,,,,,3,,1,1,1,1,5,3,,,,,,,,,2,,2,4,700,,,,,,,,1,632,5,11,107,,,,,2,350,,27362,,,,,,2,1,1,2,2,,,2,1,1,,8,,,,,,,,,,10,1,,,1,20,9,15,1,8,,71,17,48,1,,,,2,,3,9,7,1,1,11/09/2024,01:57:52 p. m.,27362,,,,,,,,,,,,,76134,,,,,,,,1,2,1,7,,,,,2,3,4,,2,2
1323,1.0,2024,1,,2,51,141,2,1,20,,,,,,7,,2,11,2,2,4,2,13,2,,,,,,,2,,2,2,700,,,,,,,,1,811,26,21,,,,,,2,47,,1323,1,1,,,,4,1,,,2,,,3,3,,,13,,,,6,12,,1,2,3,7,1,39,24,1,17,,,3,20,,9,1,66,34,,,,2,,3,3,7,1,1,19/01/2024,12:10:19 p. m.,1323,,,,,,,,,,,,,72030,2014,8,,,,,,5,2,3,,,4,,,,,1,1,2,
31811,10.0,2024,4,,3,23,595,5,2,,18,,,,,3,,1,12,2,,4,,,,,,,,,,2,,2,2,700,,,,,,,,1,,,,,,,,,2,,,31811,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,10,1,,,1,23,,,,,,,,,,,,,2,,3,2,3,1,1,25/10/2024,01:39:22 p.m.,31811,,,,,,,,,,,,,,,,,,,,,2,1,3,,,2,,,11,,,,2,1
25742,8.0,2024,3,,2,55,2274,1,1,1,,,,,,3,,,3,1,1,2,1,,,,,,,,,2,,2,2,700,,,,,,,,10,58,,,,,,,,2,,,25742,,,,,,3,4,3,1,4,4,4,3,1,3,,12,,,,,,,,,,10,2,,,19,,,,,,,,,,,,,,2,,3,,7,4,1,26/08/2024,01:33:02 p. m.,25742,,,,,,,,,,,,,66128,,,,,,,,5,,7,,,2,,,,,1,,1,3
7242,2.0,2024,1,3,,51,,11,1,1,,,,,,1,,4,4,,,1,1,,,,,,,,,,,2,2,700,,,,,,,,1,,,,,,,,,,350,,7242,1,,,,,2,2,,1,,,,,2,1,2,,,,,4,6,7,2,4,,8,2,122,,23,,,,15,,,71,27,,,,,,2,,3,,7,4,2,07/03/2024,11:44:16 a. m.,7242,11,1,,,,,,,,,,,,,13,6,9,10,12,,3,7,,,,,,,9,10,2,,2,
12513,4.0,2024,2,,1,1,543,1,1,1,,,,,,7,,,4,,,,,,,,,,,,,2,,2,4,684,,,,,,,,1,,157,,,,,,,2,,,12513,,,,,,1,2,1,4,1,2,2,1,1,1,,9,,,,,,,,,,8,1,,,1,,,,,,,,,,,,,,2,,3,,3,1,1,25/04/2024,12:39:02 p. m.,12513,,,,,,,,,,,,,,,,,,,,,,2,1,4,,,,,,,,,2,2
13907,4.0,2024,2,,,,,11,1,31,,,,,,1,,1,2,3,3,4,2,,,,,,,,,2,,2,2,680,,,,,,,,,,,,,,,,,,,,13907,1,,,,,2,2,2,2,1,2,3,2,2,3,,5,,,,,,,,,,8,1,,,1,17,20,18,35,1,,21,,,,,,,2,,3,9,3,6,2,15/05/2024,04:38:20 p. m.,13907,,,,,,,,,,,,,65360,2023,13,6,,,,,,2,,,,,,,,,2,,2,2
2522,1.0,2024,1,,2,55,7083,2,1,18,,,,,,7,,5,3,4,4,5,3,,,,,,,,,2,,2,2,667,,,,,,,,10,,,,,,,,,2,,,2522,,,,,,2,2,,2,2,,,,2,2,,,,,,1,5,,,,,9,3,,,1,,,,,,,,,,,,,,2,,3,2,7,1,1,30/01/2024,10:35:52 a. m.,2522,,,,,,,,,,,,,,2023,,,,,,,,1,,,,,,,,,5,,,
36744,11.0,2024,4,1,,,,3,4,,,,,,,7,,,3,2,2,8,4,,,,,,,,,2,,2,2,666,,,,,,,,1,,,,,,,,,,8,,36744,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,10,1,,,1,17,20,18,,,,22,34,,,,,,2,,3,,7,4,2,10/12/2024,11:41:00 a. m.,36744,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2,,2,2
18898,6.0,2024,2,,2,51,3534,2,1,1,,,,,,7,,1,3,1,1,5,3,13,3,,,,,,,2,,2,4,666,,,,,,,,1,882,,,,,,,,2,334,,18898,,,1,,,2,1,1,1,2,2,1,2,1,1,,8,9,,,,,,,,,9,1,21,14,18,,,,,,,,,,,,,,2,,3,3,7,4,1,26/06/2024,11:26:07 a. m.,18898,,,,,,,,,,,,,55613,,,,,,,,1,7,,,,,,,,,3,,2,2
23767,7.0,2024,3,1,,,,3,6,,,,,,4,1,,3,4,1,1,4,2,1,2,,,,,,,2,,2,2,665,,,,,,,,1,,,,,,,,,,,,23767,1,,,,,3,1,,3,2,2,2,,1,1,,7,,,,,,,,,,10,,,,1,23,,,,,,,,,,,,,2,,,9,7,1,2,12/08/2024,01:40:28 p. m.,23767,,,,,,,,,,,,,,,13,,,,,,,2,7,,,,,,,,2,,,1
2641,1.0,2024,1,,2,51,478,1,1,11,,,,,,7,,4,4,1,1,11,4,,,,,,,,,2,,2,4,600,,,,,,,,5,,6,11,18,5,,,,2,124,334,2641,,,,1,,1,,,2,,2,,2,1,2,,14,,,,1,4,6,,,,2,1,31,,20,14,19,23,8,1,4,34,37,,1,6,,,2,,3,9,7,4,1,31/01/2024,12:32:29 p. m.,2641,,,,,,,,,,,,,37295,,,,,,,,1,7,,,,,,,3,2,4,,,
13837,4.0,2024,2,2,,1,599,10,1,13,,,,,,7,54,2,1,1,1,10,4,,,,,,,,,2,,2,2,600,,,,,,,,4,,17,,,,,,,,,,13837,,1,,,,1,,,4,,2,2,1,1,2,,9,,,,,,,,,,10,1,,,18,,,,16,53,,,,,13,,,,2,,3,8,2,1,2,14/05/2024,05:04:05 p. m.,13837,,,,,,,,,,,,,42030,,,,,,,,1,2,7,,,,,,,,4,,2,1
9431,3.0,2024,1,,3,11,2464,5,2,,46,,,,,1,,5,4,1,1,7,3,,,,,,,,,2,,2,2,600,,,,,,,,1,845,,,,,,,,2,,,9431,,,,,,1,1,,1,,,,1,1,1,,,,,,,,,,,,7,2,,,1,17,18,,,,,,,,,,,,2,,3,6,3,1,1,26/03/2024,11:28:07 a. m.,9431,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,2,3,,
33123,10.0,2024,4,,2,55,2172,1,1,18,,,,,,3,,1,4,1,,4,,,,,,,,,,2,,2,4,600,,,,,,,,1,82,,,,,,,,2,,,33123,,1,1,,,2,2,2,2,2,2,2,2,2,2,,8,,,,,,,,,,5,2,6,,1,14,,,,,,2,,,,,,,2,,3,2,2,1,1,04/11/2024,04:56:52 p.m.,33123,,,,,,,,,,,,,64769,2024,,,,,,,1,2,1,,,,,,2,3,,,2,2
27753,9.0,2024,3,,2,51,3556,2,1,33,,,,,,3,,2,4,1,1,3,2,,,,,,,,,2,,2,2,600,,,,,,,,1,,,,,,,,,2,12,3,27753,,,,,,1,1,2,2,,,,1,1,1,,,,,,,,,,,,10,1,,,1,17,20,,,,,,,,,,,,2,,3,,3,1,1,13/09/2024,04:56:09 p. m.,27753,,,,,,,,,,,,,502,,13,8,,,,,5,2,5,,,,,,,,1,,2,1
1032,1.0,2024,1,,2,51,5413,1,1,18,,,,,,3,,2,4,5,4,4,2,,,,,,,,,2,,2,2,571,,,,,,,,1,881,,,,,,,,2,12,,1032,1,,,,,2,1,1,3,2,3,3,2,2,2,2,8,9,,,7,12,3,,,,8,2,,,1,20,,,50,3,8,,,,,,,,2,,3,8,2,4,1,18/01/2024,12:08:41 p. m.,1032,,,,,,,,,,,,,,2020,,,,,,,4,1,7,,,1,,,2,,,,2,
